date,S&P500,NASDAQ100
2022-04-07,19367,13247.0
2022-04-08,19472,13290.0
2022-04-11,19552,13191.0
2022-04-12,19366,12977.0
2022-04-13,19309,12937.0
2022-04-14,19522,13190.0
2022-04-15,19406,12970.0
2022-04-18,19454,13001.0
2022-04-19,19554,13087.0
2022-04-20,20191,13587.0
2022-04-21,19999,13265.0
2022-04-22,19762,13038.0
2022-04-25,19239,12709.0
2022-04-26,19167,12755.0
2022-04-27,18636,12268.0
2022-04-28,18851,12377.0
2022-05-02,18798,12352.0
2022-05-06,18929,12391.0
2022-05-09,18861,12266.0
2022-05-10,18154,11710.0
2022-05-11,18239,11889.0
2022-05-12,17864,11476.0
2022-05-13,17727,11378.0
2022-05-16,18256,11868.0
2022-05-17,18135,11699.0
2022-05-18,18506,12008.0
2022-05-19,17640,11324.0
2022-05-20,17459,11223.0
2022-05-23,17452,11179.0
2022-05-24,17790,11375.0
2022-05-25,17524,11048.0
2022-05-26,17763,11257.0
2022-05-27,18048,11527.0
2022-05-30,18496,11907.0
2022-05-31,18669,12018.0
2022-06-01,18658,12048.0
2022-06-02,18682,12063.0
2022-06-03,18995,12374.0
2022-06-06,18831,12136.0
2022-06-07,19092,12316.0
2022-06-08,19358,12479.0
2022-06-09,19387,12539.0
2022-06-10,18895,12174.0
2022-06-13,18452,11808.0
2022-06-14,17623,11192.0
2022-06-15,17677,11290.0
2022-06-16,17842,11512.0
2022-06-17,17125,10960.0
2022-06-20,17423,11264.0
2022-06-21,17417,11261.0
2022-06-22,18014,11652.0
2022-06-23,17952,11608.0
2022-06-24,17994,11694.0
2022-06-27,18460,12047.0
2022-06-28,18524,12027.0
2022-06-29,18240,11713.0
2022-06-30,18301,11780.0
2022-07-01,18052,11565.0
2022-07-04,18107,11561.0
2022-07-05,18263,11660.0
2022-07-06,18234,11819.0
2022-07-07,18325,11908.0
2022-07-08,18625,12181.0
2022-07-11,18667,12235.0
2022-07-12,18556,12035.0
2022-07-13,18356,11898.0
2022-07-14,18404,11967.0
