date,TOPIX,NASDAQ100,S&P500
2019-11-08,11681,,11427.0
2019-11-11,11689,,11434.0
2019-11-12,11728,,11413.0
2019-11-13,11663,,11406.0
2019-11-14,11554,,11402.0
2019-11-15,11638,,11394.0
2019-11-18,11666,,11504.0
2019-11-19,11639,,11481.0
2019-11-20,11601,,11481.0
2019-11-21,11589,,11420.0
2019-11-22,11602,,11431.0
2019-11-25,11682,,11469.0
2019-11-26,11701,,11582.0
2019-11-27,11737,,11617.0
2019-11-28,11718,,11693.0
2019-11-29,11658,,11711.0
2019-12-02,11762,,11680.0
2019-12-03,11708,,11524.0
2019-12-04,11684,,11386.0
2019-12-05,11740,,11494.0
2019-12-06,11754,,11504.0
2019-12-09,11813,,11587.0
2019-12-10,11804,,11558.0
2019-12-11,11764,,11558.0
2019-12-12,11749,,11565.0
2019-12-13,11937,,11776.0
2019-12-16,11915,,11765.0
2019-12-17,11986,,11863.0
2019-12-18,11925,,11865.0
2019-12-19,11910,,11881.0
2019-12-20,11888,,11902.0
2019-12-23,11863,,11961.0
2019-12-24,11855,,11976.0
2019-12-25,11808,,11961.0
2019-12-26,11875,,11986.0
2019-12-27,11907,,12060.0
2019-12-30,11825,,12047.0
2020-01-06,11660,,11873.0
2020-01-07,11849,,11951.0
2020-01-08,11687,,11851.0
2020-01-09,11878,,12066.0
2020-01-10,11918,,12185.0
2020-01-14,11956,,12300.0
2020-01-15,11891,,12260.0
2020-01-16,11875,,12283.0
2020-01-17,11921,,12428.0
2020-01-20,11982,,12460.0
2020-01-21,11918,,12465.0
2020-01-22,11981,,12395.0
2020-01-23,11886,,12378.0
2020-01-24,11886,,12378.0
2020-01-27,11695,,12208.0
2020-01-28,11624,,11994.0
2020-01-29,11677,,12139.0
2020-01-30,11504,,12121.0
2020-01-31,11570,,12168.0
2020-02-03,11490,,11892.0
2020-02-04,11569,,11988.0
2020-02-05,11691,,12263.0
2020-02-06,11932,,12446.0
2020-02-07,11898,,12496.0
2020-02-10,11812,,12402.0
2020-02-12,11807,,12536.0
2020-02-13,11767,,12625.0
2020-02-14,11697,,12606.0
2020-02-17,11593,,12620.0
2020-02-18,11441,,12627.0
2020-02-19,11484,,12600.0
2020-02-20,11502,,12815.0
2020-02-21,11498,,12861.0
2020-02-25,11116,,12171.0
2020-02-26,11032,,11740.0
2020-02-27,10774,,11695.0
2020-02-28,10381,,11089.0
2020-03-02,10484,,10825.0
2020-03-03,10341,,11380.0
2020-03-04,10324,,10973.0
2020-03-05,10416,,11452.0
2020-03-06,10112,,10936.0
2020-03-09,9544,,10319.0
2020-03-10,9667,,9657.0
2020-03-11,9519,,10287.0
2020-03-12,9122,,9762.0
2020-03-13,8661,,8885.0
2020-03-16,8496,,9869.0
2020-03-17,8710,,8671.0
2020-03-18,8735,,9242.0
2020-03-19,8828,,8904.0
2020-03-23,8883,,8700.0
2020-03-24,9175,,8432.0
2020-03-25,9793,,9267.0
2020-03-26,9618,,9342.0
2020-03-27,10033,,9759.0
2020-03-30,9983,,9321.0
2020-03-31,9760,,9738.0
2020-04-01,9395,,9474.0
2020-04-02,9250,,9048.0
2020-04-03,9217,,9310.0
2020-04-06,9574,,9243.0
